id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
4d6d47013fe60b3d,Outlook veri dosyasının en üstü/Taslaklar,Consequuntur dolorem quod iusto ducimus nesciunt officia aliquam unde,Özay Çamurcuoğlu,kisakurekaktemur@example.com,2025-08-03 15:14:44,19132,1
553345c30a9757df,Outlook veri dosyasının en üstü/Gelen Kutusu,Inventore architecto,Müret Muvahhide Akçay Aksu,qfirat@example.net,2025-07-14 07:40:44,22687,0
ccc7e1721c9dede5,Outlook veri dosyasının en üstü/Gelen Kutusu,Incidunt autem repellat praesentium hic,Ruhsat Durmuş,wfirat@example.org,2025-07-25 16:03:44,47012,1
fb965ddc8eb0add6,Outlook veri dosyasının en üstü/Taslaklar,Molestias eos nihil voluptatibus ea ipsam atque consectetur,Fadile Hançer Alemdar,altoganarslan@example.net,2025-07-23 15:42:44,35017,0
7e8fdfec19d9e954,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Dolores consequuntur molestiae nulla neque deleniti,Baytal Durmuş,busrakoruturk@example.com,2025-07-21 14:01:44,43437,0
d95ce08fda8dfafc,Outlook veri dosyasının en üstü/Gelen Kutusu,Culpa fuga,Öğr. Havali Saygın İnönü,temimeakcay@example.net,2025-07-26 10:16:44,3532,0
924178b4332ad6d3,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Laboriosam explicabo eum,Sanur Şafak,ertasekber@example.org,2025-07-19 06:57:44,24729,0
b0a887b80604c3c1,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Repellendus enim aspernatur,Orgün Memili Erdoğan,gunebakan33@example.org,2025-07-21 12:46:44,42928,0
5f897137763acf0d,Outlook veri dosyasının en üstü/Taslaklar,Ipsam minus dolorem,Çev. Okseven Bilge,yargi09@example.net,2025-07-22 07:41:44,11182,0
f4f372cee6cc6ede,Outlook veri dosyasının en üstü/Gelen Kutusu,Non praesentium modi accusamus,Arş. Gör. Fetullah Çamurcuoğlu,zgul@example.net,2025-08-08 20:03:44,13796,0
72d74e26d07256fa,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Enim vero quod enim,Aydinç Zengin,baydu64@example.org,2025-07-31 21:49:44,2266,1
4485a83d99b61053,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Tenetur assumenda sint,Okt. Erik Kısakürek,obilgin@example.net,2025-08-04 03:11:44,20817,1
b8672655ba6d6c5c,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Quod quisquam minima,Kezban Oguş Arsoy Şener,merimyuksel@example.org,2025-07-21 05:22:44,4457,0
55bd63cbf33188d0,Outlook veri dosyasının en üstü/Gelen Kutusu,Sit sint facere perspiciatis laudantium,Türknur Sezer,myilmaz@example.com,2025-08-08 21:08:44,8631,2
19c45bbb67eac45d,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Autem ratione perferendis accusantium,Talibe Sahil Manço Alemdar,koruturknezengul@example.com,2025-07-14 09:49:44,1087,0
ec8e45226219f2b4,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Accusamus consequatur pariatur quas sapiente dolore odio,Kifaye Akçay,ikoruturk@example.com,2025-07-27 03:14:44,26975,1
8c9ff911aa5169a7,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Molestias dolores,Işin Cuheyna Ergül,xakca@example.com,2025-07-21 02:48:44,47405,0
605dc0d314101d3b,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Vero dignissimos,İlim Yağın Gülen,cbilge@example.com,2025-08-10 14:28:44,40496,3
6671e3f10d395417,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Delectus reiciendis illum,Ginyas Akgöl Ergül,ydemir@example.com,2025-07-23 10:55:44,32953,0
af3b476bb1a22c3f,Outlook veri dosyasının en üstü/Gelen Kutusu,Repudiandae quaerat odit,Av. Aksay Ortak Zengin,ozcamsama@example.com,2025-08-07 17:12:44,35585,0
62674c719710c2ea,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Inventore,Gülşahin Sezgin,melihcan56@example.net,2025-07-21 04:03:44,24017,1
4fcd84a182d1e40e,Outlook veri dosyasının en üstü/Gelen Kutusu,Ipsum id omnis enim fuga ullam provident,Çaltı Şafak,masar93@example.com,2025-07-23 00:18:44,44087,0
