id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
5ea6016aab04921d,Outlook veri dosyasının en üstü/Gelen Kutusu,Officiis recusandae qui ratione qui consequatur fugiat,Güneri Akınal Bilgin Hançer,havalimanco@example.com,2025-07-13 08:55:44,5427,3
f679bc70c6d7cca4,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Sequi perspiciatis ipsa nostrum quo,Andiç Arsoy,fedensafak@example.com,2025-08-03 07:02:44,23322,0
81a796139e452562,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Aspernatur,Çev. Fatinur Sezgin Duran,akise53@example.org,2025-07-14 11:54:44,5410,0
29aab0a65f1f6140,Outlook veri dosyasının en üstü/Gelen Kutusu,Repudiandae ea adipisci,Sargın Sakarya,dbilgin@example.org,2025-07-30 09:59:44,31867,1
77591ad67df7da76,Outlook veri dosyasının en üstü/Gelen Kutusu,Accusantium cumque sequi deserunt natus dolores magnam ea,Kuddusi Yaman,macide33@example.org,2025-07-26 00:18:44,5519,0
ea10fd72d10fd063,Outlook veri dosyasının en üstü/Taslaklar,Nisi impedit beatae officiis earum illum,Yrd. Doç. Piran Müsemma Aslan,ergulbesin@example.com,2025-08-08 02:05:44,18075,0
c111e68a6d896ecf,Outlook veri dosyasının en üstü/Arşiv,Tenetur autem molestias nesciunt numquam reiciendis autem dolor quae maxime illum,Bayan Tanses Naide Zengin,ncorlu@example.org,2025-07-23 05:32:44,28400,2
3bd0e3d3c47d96e0,Outlook veri dosyasının en üstü/Silinen Öğeler,Vero quia ut exercitationem,Berkal Kısakürek,myildirim@example.net,2025-08-01 20:52:44,1761,0
873bc5c91d193c74,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Dolorem enim ab deleniti corrupti id quas,Öğr. Erginel Kısakürek,mahnazcetin@example.net,2025-07-27 12:39:44,11106,1
eb6238578fc2c662,Outlook veri dosyasının en üstü/Gelen Kutusu,Consequatur modi,Ufukay Akça Ülker,aslangoli@example.net,2025-07-25 23:15:44,19543,0
70ac5dea15babe5b,Outlook veri dosyasının en üstü/Gelen Kutusu,Similique atque incidunt,Cantez Akçay,ldemirel@example.net,2025-08-04 08:58:44,5420,0
