id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
a9783e0854b730ce,Outlook veri dosyasının en üstü/Gelen Kutusu,Possimus ullam ipsum ipsum rem debitis,İncifir Feyzin Şama,asoylu@example.net,2025-07-16 08:45:44,10222,1
c4a68ca648ce2417,Outlook veri dosyasının en üstü/Arşiv,Mollitia vel delectus inventore odio dolor,Kıvılcım Akça,huryasaralemdar@example.net,2025-07-15 23:49:44,17256,0
d5317992079b62cc,Outlook veri dosyasının en üstü/Gelen Kutusu,Vero nam molestias laboriosam atque voluptatibus nemo laboriosam ea,Dr. Rebihat Durmuş Duran,arsoyneval@example.org,2025-07-31 09:09:44,37378,0
ba4a0adf6dd5f85a,Outlook veri dosyasının en üstü/Gelen Kutusu,Saepe ipsa ea,Tatu Ülker,sevenperen@example.net,2025-07-27 09:09:44,25172,0
0c7da9c39ea19a6c,Outlook veri dosyasının en üstü/Taslaklar,Deleniti voluptatibus et,Mahsun Manço,menguc33@example.org,2025-07-16 08:47:44,20488,1
a1f7dee7a32c8785,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Culpa eligendi perferendis neque,Korkmazalp Seven,ergulirfan@example.com,2025-07-28 18:25:44,16335,0
275c74375cbf029a,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Aliquam modi minima consectetur odit doloremque quaerat a adipisci voluptatem,Av. Fehmiye Nurtaç Şener Alemdar,mansuralialemdar@example.net,2025-08-05 03:15:44,37494,0
ebd8cb8ca20936fb,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Odit vel,Fadıla Karadeniz,xakdeniz@example.org,2025-07-19 08:00:44,27178,0
2a93bb86168343d0,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Consequuntur id facilis,Aybora Akçay,koruturkoguzman@example.net,2025-07-18 16:46:44,34501,1
41ead9040c51f167,Outlook veri dosyasının en üstü/Gelen Kutusu,Modi laborum distinctio blanditiis,Günver Duran,hyorulmaz@example.net,2025-07-20 18:23:44,14147,0
3636ae6a14253a87,Outlook veri dosyasının en üstü/Gelen Kutusu,Minus eligendi sed,Dr. Urhan Gücal Güçlü,wsama@example.com,2025-07-16 23:12:44,26123,1
1db46e5b55acfbe8,Outlook veri dosyasının en üstü/Gelen Kutusu,Optio adipisci expedita saepe,Doç. Zilfa Hekime Karadeniz,eraslanintihap@example.net,2025-07-22 01:32:44,41386,0
71a64f2915bdc190,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Sit sint sed quod,Bay Avşin Ramadan Akça,uakar@example.org,2025-08-10 03:18:44,44557,1
a097e99b727753ea,Outlook veri dosyasının en üstü/Gelen Kutusu,Eum dignissimos repellendus odio temporibus ad sunt cumque,Av. Ümray Şensoy Soylu,corluozkent@example.com,2025-07-26 04:56:44,19600,0
3ee9362f779cd624,Outlook veri dosyasının en üstü/Taslaklar,Quae distinctio,Okt. İmrihan Fadile Ergül,habibe86@example.org,2025-07-25 01:35:44,49343,0
2ca130f816d96f51,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Pariatur culpa ex autem molestiae est aliquid,Öğr. Abdulkadir Haciali Eraslan,hulker@example.net,2025-08-02 04:02:44,14953,0
276df32b1a5b579a,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Voluptatum at eligendi deleniti cumque quidem nemo possimus omnis,Dr. Hüsmen Bilge,dilara93@example.org,2025-07-16 18:18:44,28354,1
