id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
62ff6b5db071c504,Outlook veri dosyasının en üstü/Gelen Kutusu,Deleniti ab voluptatem vel ipsa,Nurhayet Akçay,akgunduzaysan@example.org,2025-07-26 13:16:44,7223,0
48a675bb2f601aa4,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Porro suscipit aspernatur cupiditate aut,Dr. Tecimer Fatih Ergül,durdusecgul@example.net,2025-08-04 10:41:44,49933,0
fec9cfa6f6f247e7,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Quisquam sed optio quis quia,Duyguhan Ergül,mevlutakdeniz@example.org,2025-08-02 14:09:44,3414,0
18c06a9e82fecc2b,Outlook veri dosyasının en üstü/Arşiv,Reiciendis nemo,Prof. Bağdaş Çamurcuoğlu,hurmetulker@example.com,2025-08-07 18:20:44,6482,0
f2b1734efe254b50,Outlook veri dosyasının en üstü/Gelen Kutusu,Quia atque voluptas consectetur praesentium consequuntur ab,Nuyan Çağa Durdu Sezer,velitdinbilir@example.org,2025-08-02 07:19:44,39712,1
e00aff51024e5197,Outlook veri dosyasının en üstü/Gelen Kutusu,Rerum rerum commodi iste debitis tenetur tempore officiis,Feza Yıldırım,berkierdogan@example.org,2025-07-26 11:45:44,28173,0
8d250a1d1e86e7ba,Outlook veri dosyasının en üstü/Gelen Kutusu,Perspiciatis ex natus cum inventore,Vafir Duruk İhsanoğlu,selale58@example.org,2025-07-17 20:19:44,39908,0
094c23c74b51bb60,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Excepturi maxime dolores neque atque,Yrd. Doç. Burakhan Sezgin,inonurebihat@example.net,2025-07-21 10:46:44,40509,2
712b1ff7e683324f,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Occaecati consectetur quam,Doç. Uludağ Ulakbey Yaman,fatigul51@example.net,2025-08-12 02:16:44,30604,2
e3fcd76d27c40863,Outlook veri dosyasının en üstü/Taslaklar,Labore ex neque rem nobis nemo fugit,Güngören Şafak Zengin,tgulen@example.com,2025-08-01 15:52:44,18426,3
266c3f0e7d878141,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Ipsam natus veritatis praesentium qui deserunt itaque facere illo,Öğr. Değer Tevetoğlu Eraslan,sezeresenbay@example.net,2025-07-19 04:36:44,13182,0
9188d447c5f6b9b7,Outlook veri dosyasının en üstü/Gelen Kutusu,Aperiam atque vero laudantium,Arpağ Çorlu,asezgin@example.org,2025-07-23 12:51:44,2537,0
26254b917f69bf63,Outlook veri dosyasının en üstü/Gelen Kutusu,Autem blanditiis accusantium,Bayan Tüzenur Güçlü Karadeniz,arslansafii@example.net,2025-07-22 19:50:44,7854,0
2f08402dce763ebc,Outlook veri dosyasının en üstü/Gelen Kutusu,Omnis perferendis qui voluptatibus expedita,Prof. Susam Muarra Akdeniz Akdeniz,ozbilgedumanli@example.com,2025-07-31 23:15:44,17589,0
015a571c7f6f238a,Outlook veri dosyasının en üstü/Taslaklar,Consectetur,Dr. Rakide Aylil Ergül,bilirubeydullah@example.net,2025-07-26 17:31:44,29944,0
6ed1b0e28960dbdd,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Placeat fugiat unde impedit exercitationem vero quia similique quas,Nuriyet Miyesser Öcalan,berran27@example.com,2025-07-16 15:26:44,2252,0
d7af67d340ed346c,Outlook veri dosyasının en üstü/Gelen Kutusu,Minus culpa iste sint aut hic reprehenderit,Peren Demirel Demirel,samihacamurcuoglu@example.net,2025-08-05 02:07:44,3443,0
e796abd9e71209d0,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Pariatur nostrum commodi eius non dolorem,Ayten Şener,gcamurcuoglu@example.com,2025-08-12 02:21:44,2806,0
8c16ec256e87f521,Outlook veri dosyasının en üstü/Gelen Kutusu,Eius repudiandae incidunt,Irıs Fırat Arslan,batirhangulen@example.com,2025-08-09 11:04:44,23164,0
c4c0b99c9f0d354e,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Fuga commodi eaque veniam,Sami Tarhan,pdemirel@example.com,2025-07-24 07:04:44,46940,0
68ca619e1b4c6b9c,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Velit vitae,Altınbike Duran Kısakürek,xakcay@example.org,2025-08-06 00:43:44,25166,1
06cc2c84921abea9,Outlook veri dosyasının en üstü/Gelen Kutusu,Dolorum architecto eius,Dr. Salimet Tagangül Karadeniz,gaslan@example.com,2025-07-25 05:48:44,23833,1
2056250eeef8682b,Outlook veri dosyasının en üstü/Taslaklar,Ipsam blanditiis alias nemo quaerat beatae,Müğber Nurmelek Akdeniz,ilmafer01@example.com,2025-07-23 22:37:44,33095,0
578da8870707372c,Outlook veri dosyasının en üstü/Arşiv,Accusantium veniam ratione accusantium dolor sint alias libero ab,Tuyuğ Akçay,okturemiscetin@example.org,2025-07-15 10:48:44,39736,0
e646626d00626ddb,Outlook veri dosyasının en üstü/Gelen Kutusu,Saepe accusamus iure,Zahfer Sezer,aakdeniz@example.org,2025-07-21 18:23:44,36931,1
60969d994f5de9a3,Outlook veri dosyasının en üstü/Silinen Öğeler,Esse mollitia rem,İde Dilsitan Şama Türk,skisakurek@example.com,2025-07-30 08:51:44,20993,0
6751df7e9d81bb9a,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,A minima consequuntur quod quia incidunt pariatur numquam,Uz. Zümre Akdeniz Korutürk,ugan73@example.net,2025-07-24 20:39:44,37905,0
588520730c37af4f,Outlook veri dosyasının en üstü/Silinen Öğeler,Beatae velit minima laboriosam saepe aut,Eryıldız Ergül,intihap20@example.net,2025-07-26 19:28:44,26501,1
245c8cf0b0be07c8,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Distinctio labore neque molestias,Okt. Safet Yunt Yaman,adigundemirel@example.com,2025-08-11 13:06:44,8621,0
064a85cb6833e321,Outlook veri dosyasının en üstü/Gelen Kutusu,Necessitatibus commodi modi reprehenderit,Aytöz Akdeniz Demirel,xakca@example.org,2025-07-21 18:27:44,26443,0
7cd72de4670f472b,Outlook veri dosyasının en üstü/Gelen Kutusu,Ipsum temporibus similique,Sevginur Akçay Arsoy,karadenizselvi@example.net,2025-07-21 10:36:44,6849,0
292a493722ebbb4e,Outlook veri dosyasının en üstü/Gelen Kutusu,Eos eligendi non eaque in ullam assumenda amet necessitatibus voluptates,Gülzadiye Tülin Şafak,giz59@example.org,2025-08-07 16:08:44,48745,0
b5fc6810c8466f0f,Outlook veri dosyasının en üstü/Gelen Kutusu,Ducimus eum,Av. Söyler Nezize Şener,nazisafak@example.com,2025-07-28 12:51:44,6062,0
c055e6f242dad281,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Itaque hic architecto nulla eveniet iure excepturi,Odkanlı Çokan Akgündüz,durmusmeryeme@example.net,2025-07-14 10:18:44,16278,0
43ca2a6c09b31cdd,Outlook veri dosyasının en üstü/Gelen Kutusu,Consequatur itaque magni cum porro dolorem minima,Doğuhan Hayrioğlu,ndurmus@example.org,2025-07-22 00:22:44,3725,0
71ee81a3501e4266,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Numquam nostrum excepturi nisi fugit vitae reprehenderit aliquid,Öğr. Münif Otay Aslan,duruk46@example.net,2025-07-22 13:12:44,1216,0
c358c2eb74659ef1,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Reiciendis quia,Şevket Yüksel,guclumerba@example.net,2025-08-02 05:09:44,46425,0
16521be4575e99d9,Outlook veri dosyasının en üstü/Gelen Kutusu,Maiores reiciendis,Yrd. Doç. Uçan Mansız,alpcanarslan@example.net,2025-07-21 01:34:44,49617,0
2b440317c95e7b1b,Outlook veri dosyasının en üstü/Gelen Kutusu,Porro nostrum facere placeat,Cemalettin Şabettin Ülker Alemdar,diricanmanco@example.org,2025-08-12 01:43:44,4589,1
89160fdfeabb8fb0,Outlook veri dosyasının en üstü/Gelen Kutusu,Sequi in atque asperiores fugiat quae cum,Vezat Duran,firatnurice@example.com,2025-08-01 07:42:44,26636,2
5f96c70412721314,Outlook veri dosyasının en üstü/Gelen Kutusu,Sapiente fuga ipsa,Müjde Gülter Yılmaz,varlik19@example.com,2025-08-01 12:25:44,24300,1
e938ff652335101f,Outlook veri dosyasının en üstü/Gelen Kutusu,Assumenda non repellat explicabo,Över Erkan Yorulmaz Arsoy,birbenalemdar@example.net,2025-07-19 02:24:44,25473,3
f4c8225821c6efc5,Outlook veri dosyasının en üstü/Gelen Kutusu,Fuga nostrum quam,Türkalp Apaydın Yaman Demir,jduran@example.org,2025-07-17 15:55:44,21858,0
63a209d9e41edc4b,Outlook veri dosyasının en üstü/Arşiv,Voluptatem ipsum ut quos vel quasi,Şahnuray Sezer,gunebakan88@example.net,2025-07-14 07:15:44,45861,0
