id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
6a7830ee872d5c6c,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Molestiae impedit,Dr. Kübran Tarhan Demirel,iakcay@example.net,2025-07-27 20:58:44,47408,0
44fad97dd6deaf8b,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Doloremque maxime non aperiam quos perspiciatis numquam illum voluptate molestias,Ertün Zorlu,yilmaz89@example.org,2025-07-15 16:43:44,14014,2
a76a932e711da7df,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Ipsum incidunt perspiciatis,Akgöl Akdeniz,hayriogluhuzuri@example.org,2025-08-04 23:13:44,18319,0
d112156819e70328,Outlook veri dosyasının en üstü/Gelen Kutusu,Repellat debitis facere reiciendis similique,Yrd. Doç. Ezgütekin Hüsmen Zengin,aakca@example.net,2025-07-23 00:32:44,34688,3
14bf21a8bcc5b050,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Magni dolorem fuga accusantium pariatur architecto,Nurhayet Tevetoğlu Soylu,kahirfirat@example.com,2025-08-04 23:19:44,38345,0
d91320c2b0b13588,Outlook veri dosyasının en üstü/Arşiv,Adipisci eius assumenda reprehenderit voluptate nisi necessitatibus,Dr. Aydar Zeyno Eraslan Türk,fami65@example.net,2025-07-19 10:58:44,25536,1
464af85c3841b643,Outlook veri dosyasının en üstü/Taslaklar,Voluptatibus eius voluptatibus,Av. Tutkucan Nirgül Ülker Akça,gulaga53@example.com,2025-07-25 16:02:44,32104,0
d8126253822cc5de,Outlook veri dosyasının en üstü/Gelen Kutusu,Ratione dignissimos reprehenderit error adipisci,Asiman Ertaş,yosma02@example.com,2025-07-28 07:49:44,13107,1
9320864005ed940a,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Voluptatem sit inventore dolore fugit,Hasgül Nebiha Şama İhsanoğlu,icimbike50@example.org,2025-07-31 09:20:44,48213,0
e3da83918f245342,Outlook veri dosyasının en üstü/Gelen Kutusu,Perferendis neque magni,Nuyan Özüdoğru Demir,arsoymestur@example.com,2025-07-23 03:22:44,16003,2
bce402b33de84de0,Outlook veri dosyasının en üstü/Arşiv,Non eveniet accusamus maxime architecto,Günaydin Eraslan,isoylu@example.org,2025-07-17 21:39:44,2665,1
2e691ecffe93cb0a,Outlook veri dosyasının en üstü/Taslaklar,Quae minima ipsam id unde maiores a asperiores,Fadile Güzey Bilir Sezgin,zenginnurkan@example.com,2025-08-08 02:37:44,21263,0
a9df891a88b997de,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Atque dignissimos accusantium nihil quam,Günkurt Bilge,ercihan84@example.org,2025-07-30 21:20:44,17411,0
3d8d1ed133347755,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Fuga fugit molestias assumenda,Dr. Revza Nazlihan Ergül,kermansakarya@example.org,2025-07-31 09:23:44,26968,0
05570c27ec9cc9ff,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Tempore molestiae reprehenderit non accusamus inventore,Barışcan Eyyüp Manço,siylihanyilmaz@example.com,2025-08-05 06:26:44,32070,0
66b58fe86295c2e7,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Maxime fugit architecto,Bali Sezgin,guclutangul@example.com,2025-08-05 01:55:44,23492,0
094122a2c45d1af6,Outlook veri dosyasının en üstü/Gelen Kutusu,Illum quia accusantium,Av. Hacile Kifaye Manço,csezgin@example.com,2025-08-10 10:06:44,4587,0
