id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
7d1bf0cdfb229e5f,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Aliquam sit ipsam placeat omnis,Ensari Siper Yüksel Duran,yorulmazecegul@example.net,2025-07-22 17:06:44,37442,1
c6bac7cc021f834d,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Repellendus necessitatibus pariatur,Öğr. Hayel Nihan Soylu,vahittinduran@example.org,2025-07-28 08:45:44,8483,0
f876e9a4ff13c184,Outlook veri dosyasının en üstü/Taslaklar,Sit optio,Önsal Kanpulat Tevetoğlu Dumanlı,akgunduzrisalet@example.com,2025-07-31 12:25:44,14395,0
10e780c0f39987bd,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Assumenda totam repudiandae minus cupiditate veritatis consequatur laboriosam perferendis,Kapagan Dumanlı,pbilir@example.com,2025-08-07 23:39:44,6793,0
824e6f2901741daf,Outlook veri dosyasının en üstü/Gelen Kutusu,Vero sunt laborum ullam error veniam,Enes Sezer,durduganim@example.net,2025-07-21 21:04:44,17841,0
e84108883a53f6f9,Outlook veri dosyasının en üstü/Gelen Kutusu,Aliquid voluptatem,Mecit Yılmaz,sevindikkaradeniz@example.org,2025-07-20 08:40:44,46852,0
a5731e536bfbf4b7,Outlook veri dosyasının en üstü/Gelen Kutusu,Itaque dicta est quia eum,Server Dumanlı,zumre72@example.org,2025-08-09 10:53:44,26658,1
8fc53487eabdbc64,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Nulla eveniet at,Fatigül Sakarya,gulseren57@example.org,2025-08-09 03:49:44,46921,1
c8c04b93693e74be,Outlook veri dosyasının en üstü/Gelen Kutusu,Temporibus nobis ea praesentium id,Cangür Salurbay Çamurcuoğlu,serezliakca@example.org,2025-08-03 22:33:44,41092,0
deb2316db0ffe1d1,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Est magni,Arş. Gör. Nurey Mezide Yaman,murit34@example.net,2025-07-19 22:00:44,3985,1
e17c36ff00921009,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Impedit perferendis nisi,Ümmet Bilge,sagityildirim@example.com,2025-07-16 02:45:44,30164,0
45b72fdf7005b8b0,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Facilis quasi aliquid,Nafile Arslan,rahmet86@example.net,2025-08-10 18:20:44,37430,2
c23d63a47b8ea0c7,Outlook veri dosyasının en üstü/Gelen Kutusu,Enim assumenda veritatis excepturi repudiandae temporibus,Oktüremiş Kürşad Yılmaz Bilge,akcakutay@example.com,2025-07-25 18:54:44,5750,0
a98085464369806e,Outlook veri dosyasının en üstü/Gelen Kutusu,Hic molestias enim deleniti rem nisi,Akdurmuş Çorlu,rcorlu@example.net,2025-07-17 01:53:44,20944,0
bfd05f4c5fd4d486,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Sunt veritatis voluptas quasi tenetur,Dr. Cuheyna Ayten Akçay,zulbiyealemdar@example.net,2025-07-16 16:03:44,14854,0
771b78f07f493a55,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Eveniet optio dignissimos accusamus deserunt vitae,Bayan Muhiye Şahdiye Şener Alemdar,weraslan@example.net,2025-07-18 12:05:44,31840,0
9ee540da27d0276d,Outlook veri dosyasının en üstü/Gelen Kutusu,Officia eaque blanditiis autem optio,Arş. Gör. Emal Yıldırım Ülker,xhancer@example.net,2025-08-08 11:35:44,39285,0
d1f9fdc51f2ff225,Outlook veri dosyasının en üstü/Arşiv,Possimus veniam amet minima nemo,Abdürreşit Soylu,kayrabayakca@example.net,2025-07-15 11:29:44,13762,0
1c2783805dc7efc5,Outlook veri dosyasının en üstü/Gelen Kutusu,Facilis error voluptates dolor,Şükri Duran,beray93@example.org,2025-07-21 16:08:44,25028,0
82a6b962d2e30af0,Outlook veri dosyasının en üstü/Gelen Kutusu,Sapiente deleniti architecto quaerat occaecati ad,Zümre Karadeniz,fehmiyeyildirim@example.com,2025-07-19 14:12:44,35362,2
89902a60f427f778,Outlook veri dosyasının en üstü/Gelen Kutusu,Reiciendis minima quos odit molestias eaque nostrum,Sirap Arslan Demirel,aysuna33@example.org,2025-07-19 13:22:44,24586,0
dad07fc1a154a6db,Outlook veri dosyasının en üstü/Silinen Öğeler,Cupiditate eius architecto eos nobis quisquam ea deserunt quod cumque,Acarkan Zorlu Hançer,zertas@example.com,2025-07-20 18:55:44,21575,0
2ca55dc486fa59bb,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Pariatur recusandae provident mollitia,Bayan Bediriye Hüsnühâl Bilgin,cevale95@example.org,2025-07-28 04:42:44,8596,1
89ecf88e60996292,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Rem accusamus laudantium consectetur,Öğr. İldem Masar Aksu,ocalangokce@example.net,2025-07-17 18:11:44,1766,1
4a9f0af792ce4f76,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Repellendus accusamus,Arş. Gör. Hanbiken Nurda Mansız,aynimahalemdar@example.com,2025-07-19 11:03:44,22238,0
2fec76b7924c752a,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Ab consequatur occaecati,Bekbay Demirel,bilirsatia@example.com,2025-08-11 03:29:44,28234,2
fc355519c1dd3c85,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Ducimus totam amet animi,Dilşat Maşide Bilir,gulluhanalemdar@example.com,2025-08-04 15:26:44,18586,0
e27ed963aa6b9c0c,Outlook veri dosyasının en üstü/Arşiv,A eius suscipit aliquid,Armahan Bilge Sakarya,cezayir78@example.net,2025-07-18 14:17:44,42144,2
128deff0b9f30296,Outlook veri dosyasının en üstü/Arşiv,Ea occaecati,Bayan Cannur Fatmanur Akgündüz Akdeniz,pdurdu@example.com,2025-08-05 09:45:44,17328,0
2ecb35aa4d3b09dc,Outlook veri dosyasının en üstü/Gelen Kutusu,Impedit eligendi et provident,Cuman Aliseydi Yılmaz,esezgin@example.org,2025-07-24 13:51:44,13820,1
aacca27205777972,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Atque id aspernatur nemo earum soluta saepe temporibus,Doç. Galip Durdu,zulfuyeulker@example.com,2025-08-10 14:18:44,3406,2
9fd36208cf7b529e,Outlook veri dosyasının en üstü/Taslaklar,Aut maxime magni sunt perspiciatis voluptatibus,Cemalettin Yorulmaz,karslan@example.org,2025-08-03 18:26:44,37894,0
08dc1f79bf8a2a2a,Outlook veri dosyasının en üstü/Silinen Öğeler,Pariatur quaerat velit repellat,Salurbay Güçlü,durmusbozbag@example.com,2025-08-04 06:14:44,2977,0
65f2a72125d6bdfb,Outlook veri dosyasının en üstü/Gelen Kutusu,Molestias ullam quisquam eos atque neque quod soluta,Boynak Şener,tevetoglunzamettn@example.net,2025-07-20 20:44:44,12384,0
8685512598af6bc1,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Repellendus facere perferendis soluta magnam qui sed eius,İkiz Mehmed Ertaş,zorluzevlude@example.org,2025-07-15 16:14:44,13383,0
002801d8d2d88b64,Outlook veri dosyasının en üstü/Gelen Kutusu,Impedit voluptates quidem molestias corrupti harum dicta earum,Çilga Ballı Çorlu,orgunbilir@example.com,2025-07-28 03:36:44,11068,1
3847b00cd984fa96,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Nobis aliquam error,Hasgül Zaliha Bilgin Şafak,duruk18@example.net,2025-08-11 02:48:44,37852,0
af8058e90691f303,Outlook veri dosyasının en üstü/Gelen Kutusu,Vel voluptates corporis libero accusantium,Dr. Yücelen Baturay Akçay,cetinrezin@example.com,2025-08-11 14:47:44,20882,0
a00cb55b2ca1495e,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Dolore sed nobis,Akboğa Şama,abiye27@example.org,2025-08-07 16:26:44,23332,0
d2abf8e62df2fd2e,Outlook veri dosyasının en üstü/Silinen Öğeler,Debitis vel saepe nisi voluptates,Divan Hayrioğlu Karadeniz,gucluasalet@example.net,2025-08-09 05:19:44,48181,0
4eb6f6cd6b7b09a0,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Modi nulla commodi delectus,Sevindik Mansız,yilmazurhan@example.net,2025-07-30 09:38:44,40595,1
64644f4d4b7c83e2,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Cumque culpa dolor sequi tempore praesentium modi hic,Edaviye Akçay Zengin,ohayrioglu@example.com,2025-07-16 04:22:44,36579,0
2abccc6353747fe6,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Quaerat maiores odio explicabo,Yrd. Doç. Arıel Konguralp Bilge,ybilgin@example.net,2025-07-30 07:34:44,28270,0
29632be0514d7dc8,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Quasi voluptas rem nulla similique,Müfit Yıldırım,halemdar@example.org,2025-07-14 07:50:44,30499,0
ef5067c34d7e57b6,Outlook veri dosyasının en üstü/Gelen Kutusu,Itaque nulla,Prof. Hazrat Abdülhadi Akçay,hayrunnisaarslan@example.org,2025-08-03 18:28:44,23951,1
f0765ca6577ef7a1,Outlook veri dosyasının en üstü/Arşiv,Molestiae a ipsum odio sequi voluptatem,Gülhisar Demirel Arsoy,kilicbayeraslan@example.com,2025-08-05 21:55:44,48587,0
f6d33200dc74f490,Outlook veri dosyasının en üstü/Arşiv,Aperiam labore nesciunt,Yıldız Mesude Akgündüz Mansız,fkisakurek@example.org,2025-07-23 00:24:44,23837,0
