id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
758d2dca07348646,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Optio molestiae,Öğr. Mahnaz Ruhugül Soylu,aksuergonul@example.com,2025-07-28 04:56:44,44715,0
d59305d3763e60a9,Outlook veri dosyasının en üstü/Gelen Kutusu,Modi harum vero vel soluta minus,Av. Yeneral Akgündüz,alemdarsavni@example.net,2025-07-19 10:39:44,34086,0
840706d538c14e95,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Ipsam assumenda et tenetur quis,Satrettin Öcalan,nakdeniz@example.com,2025-07-28 15:29:44,5196,0
ac7ccf5d785686c2,Outlook veri dosyasının en üstü/Gelen Kutusu,Magnam facilis iste quis dolores exercitationem,Öğr. Şanlı Bilir,umutcanihsanoglu@example.org,2025-07-14 19:14:44,23849,0
292187de166c0028,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Amet unde quibusdam,Okyalaz Ismık Eraslan Bilge,xeraslan@example.org,2025-08-11 05:00:44,23047,0
13aae4df3a815bb8,Outlook veri dosyasının en üstü/Gelen Kutusu,Repellat totam repellat fuga esse ut nesciunt,Yaşar Yaman,nural83@example.org,2025-08-11 22:33:44,16152,0
070b3a93d452c2b7,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Rem in quas eveniet voluptates earum,Samurtay Eraslan,ocalaneskinalp@example.com,2025-07-30 16:52:44,30900,3
81c07e9b09d181dc,Outlook veri dosyasının en üstü/Gelen Kutusu,Fugit illum perferendis doloribus adipisci,İlalmış Durmuş,ertassebattin@example.net,2025-07-23 09:38:44,25548,0
db94976481d5fc30,Outlook veri dosyasının en üstü/Taslaklar,Qui hic voluptas exercitationem earum quos iusto quia fugit,Vefia Subutiye Bilir Aslan,yilmazakcasu@example.net,2025-08-08 04:38:44,11635,0
985604bcb8e9eaf7,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Sapiente totam assumenda voluptatem laboriosam,Sağıt Aslan,alisik07@example.org,2025-07-25 12:57:44,4743,0
788a5b20c7ab7e43,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Inventore soluta fugiat,Kelâmi Gül,tasar55@example.org,2025-07-27 20:18:44,27632,1
2395f7e0f919c916,Outlook veri dosyasının en üstü/Gelen Kutusu,Veniam voluptas nostrum sed eligendi,Tolonbay Dumanlı,safiiduran@example.net,2025-08-11 10:29:44,15674,0
ae9b4c5a17fcd242,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Quae nisi provident esse vel unde,Gülder Şener,gtarhan@example.net,2025-08-10 01:00:44,44997,0
73409d0de0cb7fca,Outlook veri dosyasının en üstü/Gelen Kutusu,Eveniet repellat velit soluta quis quam tempore,Uz. Sözer Bilgütay Bilge,aydar30@example.com,2025-07-24 13:48:44,43468,0
eb47606c3846d6b6,Outlook veri dosyasının en üstü/Gelen Kutusu,Quis exercitationem quos quam,Fadıla Akgündüz Soylu,kgul@example.com,2025-07-30 19:17:44,14819,1
d7a9b8ab6a76c0ec,Outlook veri dosyasının en üstü/Gelen Kutusu,Omnis ea amet,Doç. Kahir Gücal Soylu,bekbayakgunduz@example.com,2025-07-25 03:46:44,13648,0
b7b580c025a08ccd,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Amet aliquid quo minima,Öğr. Birben Aksu Şafak,ahsenyuksel@example.net,2025-07-27 15:31:44,31657,0
7850e5b72d80428e,Outlook veri dosyasının en üstü/Gelen Kutusu,Numquam incidunt animi autem eaque sit aliquid,Gülşeref Hayrioğlu,cuneyitsensoy@example.net,2025-07-26 04:11:44,20207,0
f253c369eabf15fd,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Optio autem ducimus necessitatibus,Abdülkerim Arslan,corlugozel@example.org,2025-07-17 02:28:44,30822,2
32cb008c2e8685a7,Outlook veri dosyasının en üstü/Arşiv,Dolorum voluptate magni,Öğr. Yelesen Bişar Güçlü,hayriogluakatay@example.com,2025-08-12 00:09:44,6839,1
9211f18cfacbba20,Outlook veri dosyasının en üstü/Gelen Kutusu,Nemo optio repellendus perspiciatis possimus odio voluptatem at ad quo,Hanbiken Ülker Zorlu,aakgunduz@example.net,2025-08-11 13:15:44,37433,0
8904f09a03c41e82,Outlook veri dosyasının en üstü/Gelen Kutusu,Enim voluptas sequi,Uğur Dürrüşehvar Sezgin Akçay,iakgunduz@example.net,2025-07-25 00:04:44,37947,0
189c5ebbec5b20c7,Outlook veri dosyasının en üstü/Gelen Kutusu,Maiores fuga voluptas,Öğr. Rahiye Türk Yıldırım,qertas@example.net,2025-07-16 11:15:44,20557,0
d0b051b81c2c9479,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Odio ex,Yrd. Doç. Varlık Yaman Yüksel,senerrayla@example.net,2025-07-27 22:38:44,47794,0
8e83f4a6732eb92b,Outlook veri dosyasının en üstü/Gelen Kutusu,Dicta molestias ex,Yazganalp Aybora Yüksel,paslan@example.com,2025-07-24 17:50:44,31509,0
139c35cb0f67fb01,Outlook veri dosyasının en üstü/Gelen Kutusu,Perferendis aperiam in iure quaerat at,Kübran Yılmaz,nzorlu@example.org,2025-08-01 00:46:44,18634,0
81f8f0a42ff75556,Outlook veri dosyasının en üstü/Taslaklar,Dolore perspiciatis dicta soluta aperiam,Prof. Gülbiye Ülküm Tarhan Zengin,nalanarsoy@example.net,2025-07-23 17:21:44,10949,0
59549e1af15b95ca,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Nulla quia,Üsame Tarhan,eraslansadiman@example.com,2025-07-22 16:10:44,33568,0
c13432cc14b4c73a,Outlook veri dosyasının en üstü/Gelen Kutusu,Mollitia unde occaecati fugit laboriosam consectetur laborum numquam,Alaz Şirivan Şama,ozgurcamurcuoglu@example.org,2025-07-14 08:00:44,14894,0
a3e463760fbe5a93,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Voluptatibus aut quasi fugiat quod ipsa,Meryeme Safura Duran,narhaniminonu@example.net,2025-07-28 21:11:44,21267,1
fecf47cf7628bd65,Outlook veri dosyasının en üstü/Silinen Öğeler,Totam voluptatum voluptate,Av. Bilginur Gülenay Akar Karadeniz,ertuncay88@example.com,2025-07-14 02:00:44,19593,0
b0dcee1b1017d595,Outlook veri dosyasının en üstü/Arşiv,Expedita magnam,Sıla Günden Sezer Şensoy,kinonu@example.com,2025-07-24 01:41:44,9383,0
e354c42f82147892,Outlook veri dosyasının en üstü/Gelen Kutusu,Placeat error provident occaecati quas repellendus quia,Prof. İsak Seven,zemzemakcay@example.net,2025-08-02 01:08:44,31926,1
9a97c5880ace1734,Outlook veri dosyasının en üstü/Taslaklar,Eius itaque,Bay Törel Türk,tarhancavit@example.com,2025-08-11 19:10:44,43352,0
8896467bb95c1ebf,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Sunt culpa inventore laudantium libero quod est numquam,Toy Fırat,zenginboynak@example.net,2025-08-11 07:03:44,14984,0
12c75f13de64a649,Outlook veri dosyasının en üstü/Silinen Öğeler,Quae ipsam aspernatur iure ducimus error,Arş. Gör. Canan Evrim Seven,ergulgoli@example.org,2025-07-30 15:06:44,9608,0
c9fb806d902fd645,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Soluta ex ullam,Nihai Hayrioğlu,abdurresithayrioglu@example.net,2025-08-09 22:12:44,45355,1
a461a2cf1d9a2316,Outlook veri dosyasının en üstü/Gelen Kutusu,Itaque quasi deserunt atque cumque quia,Galip Bilge,qertas@example.net,2025-08-11 01:13:44,1633,0
eeab5a0794323563,Outlook veri dosyasının en üstü/Gelen Kutusu,Nostrum ullam officia facilis delectus minus facilis inventore facere et,Okt. Begim Erbay Dumanlı Aslan,erseccorlu@example.net,2025-07-27 03:47:44,6376,3
ecbe421c6449327b,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Suscipit consequuntur deleniti,Ekmel Erkinel Arslan,gulegencorlu@example.com,2025-07-29 04:37:44,8547,1
