id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
c88f394bf8444213,Outlook veri dosyasının en üstü/Arşiv,Delectus sapiente facilis accusantium sint repellat vel,Kırgız Hayrioğlu,ozbay19@example.org,2025-08-03 20:29:44,9712,0
ac108c798bbac357,Outlook veri dosyasının en üstü/Taslaklar,Autem nam hic,Uz. Serda Nurbanu Akça,hubancetin@example.com,2025-08-03 00:35:44,18679,0
bc2f40d3718e8d52,Outlook veri dosyasının en üstü/Gelen Kutusu,A eaque ea rem quas,Arş. Gör. Özüdoğru Tevetoğlu,saslan@example.com,2025-07-30 05:27:44,31719,0
34ad94b3929c9fbc,Outlook veri dosyasının en üstü/Arşiv,Est repellat amet voluptatibus,Uz. Deha Şafak Akgündüz,yukselmacide@example.org,2025-08-12 06:55:44,43449,0
06fc59865c2c5978,Outlook veri dosyasının en üstü/Gelen Kutusu,Perferendis earum atque odit rerum,Gülşeref Özge Sezgin Akça,durmuscidal@example.com,2025-07-16 06:51:44,9200,0
e4604804b37a3f78,Outlook veri dosyasının en üstü/Gelen Kutusu,Aperiam quo,Algış Şensoy,corluvaysal@example.net,2025-07-14 23:48:44,8870,0
5420dac25d6679b5,Outlook veri dosyasının en üstü/Gelen Kutusu,Quos quam iusto ipsum,Abdülcemal Yüksel,utevetoglu@example.org,2025-08-10 14:33:44,41832,1
017b2eebe166e15c,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Quas nulla ducimus quam ex soluta animi,Öğr. Haliye Hamiyet Türk,ulkernazimet@example.net,2025-07-29 20:26:44,47119,0
84ba99a4a9b9acb1,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Facilis vitae atque voluptatum,Aysuna Duran Demir,karcanakar@example.org,2025-08-06 07:07:44,41134,2
1313d90a3413a89c,Outlook veri dosyasının en üstü/Gelen Kutusu,Ipsa officiis praesentium sint,Orçin Ertaş Yıldırım,arsoyvezat@example.org,2025-08-10 23:22:44,12353,0
