id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
8b67ea60d98ac2c0,Outlook veri dosyasının en üstü/Gelen Kutusu,Rem aperiam officia alias,Prof. Canan Arsoy Türk,nurmelek16@example.com,2025-07-20 11:33:44,1091,0
e8c6cc1f124e00ab,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Aliquam cupiditate nihil aperiam dolor inventore,Güçlüer İhsanoğlu,turkokguclu@example.org,2025-07-28 12:25:44,27494,0
3f693d9b653b6b40,Outlook veri dosyasının en üstü/Gelen Kutusu,Facere distinctio laudantium at asperiores neque,Buşra Zülbiye Yılmaz,bezekdemirel@example.com,2025-08-08 10:47:44,36904,0
152bedcd354010c3,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Quia mollitia et qui eius incidunt,Bitül Akçay,musafet48@example.net,2025-07-28 06:47:44,18903,0
6d537aa8b27fb16d,Outlook veri dosyasının en üstü/Gelen Kutusu,Cupiditate deserunt amet quaerat harum autem totam impedit,Feden Akar Karadeniz,raylainonu@example.com,2025-08-11 15:14:44,35028,0
a0ffa11694737bc8,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Nihil debitis doloribus,Uz. Zemzem Pürçek Çorlu Ülker,akif50@example.com,2025-07-31 03:31:44,47024,0
45793281b5a6b8f6,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Qui nostrum beatae fugiat necessitatibus hic itaque iure,Feyzin Aksu,usakarya@example.net,2025-07-20 06:17:44,24859,1
c0adf4e500d83a4c,Outlook veri dosyasının en üstü/Silinen Öğeler,Nisi cupiditate laborum quas dolorem molestiae consectetur culpa,Cüneyit Fazul Çorlu Bilgin,saksu@example.net,2025-07-16 08:57:44,23322,0
8f0610689e775e5a,Outlook veri dosyasının en üstü/Gelen Kutusu,Numquam accusantium natus,Gelengül Hurşide Akdeniz,ayasunakdeniz@example.com,2025-07-30 10:40:44,34843,0
0cb2ff40cab1ebf7,Outlook veri dosyasının en üstü/Gelen Kutusu,Voluptates neque culpa,Alsoy Yıldırım,vocalan@example.com,2025-08-03 02:58:44,37723,0
bb43fe3e3fbb8219,Outlook veri dosyasının en üstü/Arşiv,Inventore est doloribus ducimus totam quia deleniti maxime,Ayten Bilge,aslanpermun@example.net,2025-08-08 03:01:44,20580,0
34bd81ecba3a2167,Outlook veri dosyasının en üstü/Gelen Kutusu,Nesciunt doloribus perferendis aperiam officia veniam,Öğr. Emal Abiye Akgündüz Manço,ertasbuget@example.org,2025-08-05 03:42:44,38600,1
fffbde8a021b5370,Outlook veri dosyasının en üstü/Gelen Kutusu,Eum exercitationem et sed omnis,Bayan Tagangül Tarhan Bilge,jerdogan@example.com,2025-07-14 14:22:44,19975,0
e35900ad511e8195,Outlook veri dosyasının en üstü/Gelen Kutusu,Magni iste quos perspiciatis ex doloremque,Baba Zorlu,bbilge@example.net,2025-07-20 05:22:44,36904,1
b7484efa4662b3de,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Nihil reprehenderit libero quas illo placeat molestias,Uz. Gülözge Türknur Arslan,tevetogluyurdanur@example.org,2025-07-29 01:54:44,6211,0
9723dc0b024a7f1b,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Fugit incidunt assumenda sequi distinctio minus numquam atque aperiam,Hacile Durdu,yorulmazemrullah@example.net,2025-08-10 10:50:44,19081,0
7a61165e64d95131,Outlook veri dosyasının en üstü/Gelen Kutusu,Eveniet dolore architecto magnam officia quasi,Özlü Bilir,demirferyas@example.net,2025-08-04 20:28:44,29751,1
42b65dd30961b59b,Outlook veri dosyasının en üstü/Gelen Kutusu,Dolor vel,Deviner Bilir,ucamurcuoglu@example.net,2025-07-30 06:36:44,10706,0
7fb25df543c35b8d,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Facere error placeat placeat,Alize Banü Aslan,lyorulmaz@example.net,2025-08-03 19:00:44,22579,1
9b3f3873b61b8c68,Outlook veri dosyasının en üstü/Gelen Kutusu,Fugit quibusdam,Yrd. Doç. Aliihsan Bahittin Durmuş,henife65@example.com,2025-07-20 19:45:44,10110,0
65748c7c8214e2e9,Outlook veri dosyasının en üstü/Taslaklar,Voluptatibus impedit ad sunt odio suscipit,Ahat Yorulmaz,sevenfazul@example.net,2025-07-22 21:11:44,12920,0
bcffbb90ff8ee44d,Outlook veri dosyasının en üstü/Silinen Öğeler,Tenetur dolorum facilis minima quibusdam,Dr. Nürice Dilara Akça Durdu,hayrioglutumkurt@example.net,2025-07-24 03:13:44,11812,0
dfc807b8e972dd85,Outlook veri dosyasının en üstü/Gelen Kutusu,Dicta vero rem dignissimos harum esse expedita,Oranlı Demir,fersansama@example.com,2025-07-25 12:41:44,6747,1
e6c4240b4b5d0cbc,Outlook veri dosyasının en üstü/Gelen Kutusu,Voluptatum minima suscipit amet repellendus,Okt. Irıs Dürrüşehvar Alemdar Seven,uraltay90@example.org,2025-07-19 09:38:44,33040,2
f5fb93015d7dda86,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Ipsa optio enim minima veniam voluptatem voluptatem magni,Sirap Uyanser Fırat Manço,dilcan77@example.com,2025-07-20 08:45:44,12671,1
100bd3f3d1676246,Outlook veri dosyasının en üstü/Gelen Kutusu,Reiciendis libero maxime occaecati est magni,Nabil Toker Durdu,ehancer@example.net,2025-07-20 14:22:44,24938,0
393145976c1d84f6,Outlook veri dosyasının en üstü/Gelen Kutusu,Cum expedita beatae laboriosam esse quia doloribus modi modi dolorem,Adal Demir Demirel,huban49@example.net,2025-08-01 07:11:44,35734,0
78f738b17bbed623,Outlook veri dosyasının en üstü/Gelen Kutusu,Nihil commodi,Arş. Gör. Ferhan Çisem Aksu,cetincaglasin@example.org,2025-08-05 11:32:44,30576,0
d6662b0d27fd5d0f,Outlook veri dosyasının en üstü/Gelen Kutusu,Dolores possimus qui corrupti harum magnam,Tanpınar Yorulmaz,sezginbas87@example.org,2025-08-01 02:51:44,2287,0
73ab40792dd18c45,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Voluptas voluptatibus,Arş. Gör. Akatay Karakucak Durdu,gabel57@example.net,2025-07-19 23:10:44,1924,1
bcfb0a2ee71443f7,Outlook veri dosyasının en üstü/Gelen Kutusu,Minima nostrum ducimus ea reprehenderit sit commodi vel,Kutay Ülker,sirivanarslan@example.org,2025-08-10 12:58:44,3046,0
64bcc9957c8e9470,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Nisi hic numquam quos sint quas magnam dolores,Tercan Yasemen Korutürk,talayerdurdu@example.net,2025-08-08 23:48:44,30559,0
