id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
2b8a6a08a93c56e4,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Accusantium quos,Esentürk Akçay,okguclu98@example.net,2025-08-02 11:29:45,13730,0
c5c6a8add4989a1c,Outlook veri dosyasının en üstü/Gelen Kutusu,Eius sequi impedit,Basriye Tevetoğlu,bayruhankaradeniz@example.org,2025-07-16 03:24:45,12741,1
9a6e803211ed12dd,Outlook veri dosyasının en üstü/Taslaklar,Commodi expedita iure quos,Yılma Mansız,akkerman17@example.net,2025-08-06 06:57:45,4528,0
037ae3e868220e63,Outlook veri dosyasının en üstü/Gelen Kutusu,Deserunt sequi deleniti provident ipsa atque,Beyhatun Yıldız Eraslan Durdu,varlikakca@example.org,2025-07-20 15:47:45,33162,0
ffcb14eaa952a2ce,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Necessitatibus autem nesciunt commodi eaque ducimus possimus fuga ea,Hekime Şama Sezgin,sirriyekoruturk@example.com,2025-08-08 18:19:45,44335,1
c82ea39884afe24a,Outlook veri dosyasının en üstü/Gelen Kutusu,Necessitatibus fugit maxime quos repellat laborum excepturi,Dalkılıç Soylu,aslanandic@example.net,2025-07-15 03:10:45,19315,0
ad84030ce2651a97,Outlook veri dosyasının en üstü/Arşiv,Sit vero dolor,Nafile Taçnur Tevetoğlu,ledun40@example.com,2025-07-21 22:08:45,16496,1
7084a187726d04a9,Outlook veri dosyasının en üstü/Taslaklar,Labore ab vel non esse,Müfit Gülel Alemdar Demirel,gunaydinmanco@example.com,2025-08-03 21:52:45,29238,2
f7096ef884fb4568,Outlook veri dosyasının en üstü/Taslaklar,Nulla id magni,Neriban İslime Bilgin Çamurcuoğlu,karabasbilge@example.org,2025-08-09 13:18:45,40574,0
b57ed035b27f14e8,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Voluptas illo,Av. Varlık Üçgül Yaman,turguttevetoglu@example.net,2025-07-23 06:06:45,30361,0
5d7fdb3f0c0a5148,Outlook veri dosyasının en üstü/Arşiv,Nobis eos atque quod eaque alias,Şehamet Alpsü Çorlu,yulker@example.net,2025-08-10 21:56:45,49179,1
cc937f853237120d,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Odit quisquam fugiat,Mezide Tarhan,yhayrioglu@example.org,2025-07-18 12:33:45,3318,2
73ecec490bb68865,Outlook veri dosyasının en üstü/Gelen Kutusu,Cum necessitatibus,Sanavber Mansız Çorlu,cetinbitul@example.net,2025-07-30 21:40:45,37622,1
4c6fe148a56be07a,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Optio architecto nesciunt corrupti perspiciatis architecto,Yaltırak Arslan,tansesinonu@example.net,2025-07-13 10:09:45,12912,2
518e428c836c508d,Outlook veri dosyasının en üstü/Gelen Kutusu,Placeat fugiat dolor ab inventore laborum recusandae ullam,Okt. Gülüs Şerman Akdeniz Çamurcuoğlu,ksafak@example.com,2025-08-03 23:17:45,36585,1
ba26708a8a5ed78a,Outlook veri dosyasının en üstü/Gelen Kutusu,Reiciendis eius porro,Turcein Akyıldız Yaman İnönü,dorukhanhancer@example.org,2025-07-26 18:31:45,19875,0
f2fb637bf048a9d9,Outlook veri dosyasının en üstü/Gelen Kutusu,Nisi asperiores praesentium animi recusandae facilis,Talibe Gökçe Akar,abdistarhan@example.com,2025-07-21 18:27:45,23202,3
ee1dfdf8f5f0bd4a,Outlook veri dosyasının en üstü/Gelen Kutusu,Nulla quia atque eveniet dolor nemo doloremque,Doç. Öge Çorlu,abid41@example.com,2025-08-07 13:55:45,32035,0
7c834f2f55a2baad,Outlook veri dosyasının en üstü/Gelen Kutusu,Repellendus id officia quisquam,Zubeyde Aygönenç Arsoy Yüksel,torel26@example.com,2025-08-05 05:48:45,8691,0
5aaac956b75fb6c6,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Officia quisquam rerum repellendus animi provident,Abdülhadi Ergül,hancerfatih@example.net,2025-08-01 19:57:45,39797,0
d066956cbb355c18,Outlook veri dosyasının en üstü/Taslaklar,Veritatis nihil quas sunt eius molestiae sunt aperiam nulla,Akgöl Mansız,kayitbilir@example.net,2025-08-01 16:08:45,45608,1
3afe74c7490a6358,Outlook veri dosyasının en üstü/Gelen Kutusu,Quia ipsum quam doloribus,Baydu Ülker,guclupurcek@example.com,2025-08-06 02:15:45,5853,0
6c37d17305136f6b,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Dolore unde perspiciatis aut animi suscipit,Öğr. Nurser Fügen Ergül Öcalan,xakcay@example.org,2025-08-07 02:44:45,44299,0
12c75c2625772e93,Outlook veri dosyasının en üstü/Gelen Kutusu,Magni repellendus quia quos asperiores alias in reprehenderit,Bay Ushan Büget Ülker,ayasunsezgin@example.org,2025-08-08 15:00:45,12346,1
f9ae215b767a6e71,Outlook veri dosyasının en üstü/Gelen Kutusu,Dolore veritatis necessitatibus deleniti porro ea ullam,Prof. Karanbay Kayrabay Sakarya,oeraslan@example.org,2025-07-18 21:07:45,44269,1
46758b6e5df00994,Outlook veri dosyasının en üstü/Taslaklar,Voluptas dignissimos culpa mollitia dolor assumenda laborum autem,Dr. Sahil Yeşil Akçay Yüksel,dumanlifadila@example.net,2025-07-26 10:14:45,43015,0
002858e0f0f9bbb2,Outlook veri dosyasının en üstü/Arşiv,Quod minus ea atque consectetur expedita ipsa reiciendis minima,Değer Eraslan,efser69@example.net,2025-08-03 13:19:45,43676,1
1ebb4f1b31fcc333,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Vero minus sint qui iste ea dolores,Değmeer İnönü,gsoylu@example.org,2025-08-03 15:28:45,27304,1
f8ba5a589dfbddd9,Outlook veri dosyasının en üstü/Gelen Kutusu,Minima quos ut,Vaysal İhsanoğlu,bilirkoktas@example.net,2025-08-01 23:25:45,12917,0
703d5940028a2ca0,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Incidunt maiores delectus impedit dolorum,Nazlihan Pembesin Türk,alemsahcamurcuoglu@example.org,2025-07-24 02:22:45,5956,0
7a5876661b4ab8e2,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Consectetur vero accusantium incidunt ut aliquam,Doç. Nebiha Gözem Ülker,turkyasattin@example.org,2025-07-28 09:35:45,2891,0
af93c7a0a3bc1603,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Impedit quae soluta,Alpin Duran,seneruygun@example.net,2025-08-02 15:03:45,13469,1
7849913f4eb0a005,Outlook veri dosyasının en üstü/Gelen Kutusu,Quo non quo,Bayan Dilşat Soylu Arsoy,yanki44@example.org,2025-08-06 20:31:45,47568,2
6616f3ef54e3d4d7,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Modi labore,Yrd. Doç. Alpin Galip Demirel,akgunduzguldunya@example.com,2025-07-25 04:09:45,13946,0
b86ffe928013249e,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Accusamus cupiditate quas fugiat deserunt sapiente,Timurtaş Demir,akdenizdogansah@example.net,2025-07-25 15:35:45,11612,2
f84f77af7e46307a,Outlook veri dosyasının en üstü/Gelen Kutusu,Modi reiciendis officiis quibusdam,Ganiye Aslan Arslan,gulmisalakdeniz@example.org,2025-07-14 20:40:45,26213,0
e2646d10c29ee791,Outlook veri dosyasının en üstü/Gelen Kutusu,Saepe culpa dolorum vel,Öğr. Güverçin Müret Öcalan Seven,parslan@example.com,2025-07-24 11:07:45,32121,0
b5cae0808fda53d1,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Exercitationem magni quos nulla ad,Rafih Akgündüz,nurvereninonu@example.com,2025-08-02 12:40:45,15406,0
5c07e111ea8c59b2,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Aut nihil similique tempora quas exercitationem praesentium,Öğr. Seçgül Manço Öcalan,ergulucan@example.org,2025-08-03 10:22:45,45619,0
1fd12b5d3064db02,Outlook veri dosyasının en üstü/Silinen Öğeler,Quaerat molestias ab,Tuğçe Atiyye Akçay Zengin,durankaver@example.org,2025-07-21 17:39:45,2269,0
f8c3537f4d241aac,Outlook veri dosyasının en üstü/Gelen Kutusu,Architecto fuga,Kanpulat Tarhan,sakaryabaturay@example.org,2025-07-14 22:34:45,43676,0
b1b5690f5a473fc5,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Nemo rerum provident eius odit dolores aliquam libero molestias,Baturay Yılmaz,hatem97@example.com,2025-08-02 15:16:45,46628,0
cdd877c81d2a68f1,Outlook veri dosyasının en üstü/Gelen Kutusu,Totam possimus minus commodi sint explicabo,Eraycan İnönü,durmusuyanser@example.org,2025-07-15 02:27:45,5578,0
95dd6b58e8a6b7dd,Outlook veri dosyasının en üstü/Gelen Kutusu,Fugiat sapiente ipsa ad,Diken Yıldırım,rojnu52@example.com,2025-07-29 06:48:45,30463,0
51c815d6af884353,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Magnam possimus animi repudiandae debitis itaque perspiciatis voluptatibus atque aliquid,Merzuk Yüksel,osensoy@example.net,2025-07-26 18:30:45,9931,0
4c7fe1ba06bca8fd,Outlook veri dosyasının en üstü/Gelen Kutusu,Incidunt voluptatem,Yrd. Doç. Tanpınar Dincer Demirel,kdumanli@example.net,2025-07-23 04:33:45,14575,0
c7ef6f59fadc3a86,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Optio provident aliquid,Mehmetzahir Yaman,esama@example.org,2025-07-19 14:08:45,12632,1
76d5d846762ce41b,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Ipsam esse magnam magni eligendi laudantium dolore natus facilis,Baturay Eraslan,kardelenkaradeniz@example.net,2025-08-03 05:41:45,24170,0
23835663a85f2637,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Vero,Doç. Çelem Veis Akar,mdemirel@example.com,2025-08-04 02:28:45,27383,0
5bccd2a5ee0b85f6,Outlook veri dosyasının en üstü/Gelen Kutusu,Dolorum vitae voluptate cumque soluta sequi itaque,Eröz Demirel,aseven@example.net,2025-07-22 18:17:45,32973,1
3d7e8bd2e0fce162,Outlook veri dosyasının en üstü/Gelen Kutusu,Eos expedita,Av. Oruç Muhip Eraslan,irfandumanli@example.org,2025-08-08 18:06:45,3378,1
4ef5190eb476741b,Outlook veri dosyasının en üstü/Arşiv,Adipisci veritatis distinctio laborum libero architecto aperiam alias,Şavki Yorulmaz,zenginamre@example.com,2025-08-03 04:50:45,18088,0
85318cfb50bdb86e,Outlook veri dosyasının en üstü/Gelen Kutusu,Dolor atque delectus velit qui,Sevindik Şama,aysemaaksu@example.net,2025-07-18 14:05:45,21520,1
ac6128114a00f574,Outlook veri dosyasının en üstü/Silinen Öğeler,Nihil dolor repudiandae,Ozansü Akça,rakidemanco@example.com,2025-08-08 19:35:45,40695,1
bace03fbeb2b3fcd,Outlook veri dosyasının en üstü/Gelen Kutusu,Cupiditate debitis facilis dolorem maiores odit eum,Dr. Nevise Ülküm Bilgin Ülker,xdemirel@example.com,2025-08-02 09:04:45,36824,0
bf2f291e912230b1,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Cupiditate iure doloremque velit ipsum rem placeat nulla,Öğr. Özpetek Hançer Arslan,erdoganhurdogan@example.net,2025-07-24 08:41:45,14901,0
f13c3c7f1b6a5d9a,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Rerum dolorum,Metinkaya Ülker,ahancer@example.net,2025-07-30 01:31:45,28582,0
4e898778b81f70c7,Outlook veri dosyasının en üstü/Silinen Öğeler,Quibusdam fugit,Özsözlü Gülen,sendoganertas@example.com,2025-07-31 15:38:45,44331,0
daee1a27cbc37492,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Quis animi mollitia,Av. Seda Öcalan,ergulvala@example.org,2025-07-20 08:22:45,7086,2
e118de3f83794907,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Qui magni quidem adipisci,Kuddusi Dumanlı,cfirat@example.com,2025-07-31 19:43:45,10163,0
9541e6953eb948e9,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Officia recusandae omnis deserunt necessitatibus quasi id,Zaliha Alemdar,senerismet@example.org,2025-07-31 06:03:45,6906,0
