id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
cce92f7400749008,Outlook veri dosyasının en üstü/Gelen Kutusu,Assumenda cum impedit ea adipisci enim,Uz. Aynilhayat Öcalan Soylu,corlugokcil@example.net,2025-07-28 23:23:44,33593,0
8a5072b9266aa684,Outlook veri dosyasının en üstü/Gelen Kutusu,Et consequuntur nostrum,Tuğrulhan Hançer,zenginhicsonmez@example.com,2025-07-30 16:25:44,5229,0
f5ded2ef53bdbe4c,Outlook veri dosyasının en üstü/Gelen Kutusu,Ipsum alias,Soykan Şensoy,demirelalaeddin@example.com,2025-07-23 18:42:44,21213,0
66f635b2196b5efc,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Aliquid facilis debitis mollitia laborum,Kayagün Zorlu,ulkernurmelek@example.net,2025-07-18 03:26:44,25120,0
32686363f133f707,Outlook veri dosyasının en üstü/Arşiv,Aliquam rerum nisi vero a molestias ut hic minus,Öğr. Nabil Korutürk,csafak@example.com,2025-07-28 08:17:44,1109,0
be9277b930acd576,Outlook veri dosyasının en üstü/Silinen Öğeler,Eaque consectetur voluptates quidem,Dalan Bilir,durmusemine@example.net,2025-07-19 17:19:44,18226,0
950fba3bfe7b5604,Outlook veri dosyasının en üstü/Gelen Kutusu,Aut amet molestias ducimus laboriosam,Okt. Savni Kısakürek,pbilir@example.org,2025-08-07 15:32:44,34842,0
83d08480252b27f9,Outlook veri dosyasının en üstü/Gelen Kutusu,Amet libero eum tenetur molestiae architecto inventore ea,Eşref Yaman,dogansah26@example.org,2025-08-06 04:34:44,15747,0
adbaad15d14a85ca,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Doloribus repellat sequi quos dignissimos soluta vitae,Siper Akça,sehreban43@example.org,2025-07-17 17:55:44,19147,0
96ba3e1a0559c5f4,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Provident optio fuga doloribus assumenda laborum nemo accusantium distinctio nihil deleniti,Prof. Mufide Ümray Yıldırım,tulinkoruturk@example.com,2025-08-02 18:01:44,39553,0
bb6f9ef3ce10b2ac,Outlook veri dosyasının en üstü/Gelen Kutusu,Dolor vero enim corporis omnis,Arş. Gör. Heva Gülay Arsoy Çamurcuoğlu,gorsev18@example.com,2025-07-25 09:25:44,33845,0
8f6760ce6cf3311e,Outlook veri dosyasının en üstü/Gelen Kutusu,Tempore aperiam ipsa,Bay Okseven Ertaş,adila91@example.net,2025-07-21 09:05:44,30869,0
d7f148a62b885f15,Outlook veri dosyasının en üstü/Gelen Kutusu,Iusto in beatae exercitationem tempore molestiae explicabo explicabo,Orgün Demirel,bunyamun87@example.org,2025-07-14 01:31:44,1839,2
68219fbbae721fde,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Aut aut suscipit sit quidem possimus provident,Okt. Aksay Karadeniz,ruhidezorlu@example.net,2025-07-23 03:54:44,35846,2
c985b254b4091c59,Outlook veri dosyasının en üstü/Gelen Kutusu,Maiores cum sit,Monis Sezer,erguldincer@example.org,2025-07-22 07:40:44,11534,0
