id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
188ec2e553bfab06,Outlook veri dosyasının en üstü/Taslaklar,Consectetur culpa labore reiciendis ipsam hic quod praesentium,Dr. Müveddet Süheyda Alemdar Durmuş,tseven@example.net,2025-07-26 09:33:44,16847,1
e85bf1427a6c6069,Outlook veri dosyasının en üstü/Taslaklar,Doloremque laborum facilis autem molestiae sapiente,Öğr. Şelâle Hüsnühâl Mansız,ialemdar@example.net,2025-07-29 19:34:44,22848,0
be4e059630820f6f,Outlook veri dosyasının en üstü/Gelen Kutusu,Assumenda quos eaque magni,Güneri Günşen Yaman Demirel,sefiye15@example.net,2025-07-14 14:03:44,14652,0
503c0f790f52a43a,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Doloribus sapiente reiciendis quibusdam vero,Uçan Özkent Bilgin,dayarsakarya@example.com,2025-08-09 05:27:44,27384,0
4ba80a19df4c291b,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Veniam sit quo quod,Buyrukhan Aksu,takcay@example.com,2025-07-22 06:28:44,24846,0
d4b44c17919162a9,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Excepturi veritatis alias fugiat distinctio,Ahat Durdu,camurcuoglubagdas@example.net,2025-07-31 00:10:44,37629,0
403967bd25256a50,Outlook veri dosyasının en üstü/Gelen Kutusu,Eos laborum quasi,Dağistan Yılmaz,paker97@example.net,2025-07-23 09:42:44,13567,0
f836110351fc0f8f,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Pariatur velit dignissimos at aperiam,Ferhan Türk,gencaslan74@example.net,2025-08-05 10:01:44,39602,1
14ceb3a2a7602dd3,Outlook veri dosyasının en üstü/Arşiv,Neque deleniti aliquid,Züfer Şener,bogatimur41@example.com,2025-08-06 05:43:44,43071,0
48dbb55da20a2322,Outlook veri dosyasının en üstü/Gelen Kutusu,Facere nemo nihil laborum voluptatem eius pariatur tenetur veritatis explicabo,Baltaş Dündaralp Çorlu,rana05@example.com,2025-08-07 12:21:44,46652,2
bb3a24f6f3fd09b6,Outlook veri dosyasının en üstü/Gelen Kutusu,Odio facere alias dolor impedit eius quo,Aysema Nurdeniz Bilir,aslanbegim@example.com,2025-08-01 22:07:44,3412,1
d5afaa3dcbf963ab,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Itaque nisi voluptatibus,Uz. Tükelalp Yaman,ihsanoglugulper@example.com,2025-07-31 11:33:44,5698,0
df20293ad354c441,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Corporis amet sapiente,Öğr. Göli Peren Yılmaz Türk,nsener@example.net,2025-07-13 18:41:44,33557,0
204eb00475ac362f,Outlook veri dosyasının en üstü/Arşiv,Hic praesentium,Öğr. Tomurcuk Anka Aslan Akçay,nurgilocalan@example.org,2025-07-17 16:34:44,19366,0
870f707460eb013b,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Ratione ullam,Uz. Damlanur Özgün Tarhan,ulkerfehim@example.net,2025-07-13 14:45:44,2360,0
f7c79f491b0ae70f,Outlook veri dosyasının en üstü/Gelen Kutusu,Vero incidunt magnam voluptate,Öğr. Mirbadin Demiriz Akça,musure85@example.com,2025-07-20 03:14:44,23609,0
93b5c62242f835dc,Outlook veri dosyasının en üstü/Gelen Kutusu,Dicta neque nesciunt dicta,Feza Karaca Mansız Fırat,alemdargazel@example.net,2025-08-03 10:32:44,48878,0
f2547e9c06d00916,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Quo deserunt quae,Seyyide Kaver Yıldırım,ozbay87@example.com,2025-08-01 12:02:44,22232,1
cb1a4fc359098387,Outlook veri dosyasının en üstü/Taslaklar,Consectetur optio accusamus animi tempore adipisci tempore,Şahinbey Çetin,jarsoy@example.org,2025-07-17 06:07:44,31040,0
a391626924fc726f,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Quasi et tenetur ipsa,Yrd. Doç. Baltaş Boğatimur Yaman,cetinsuertas@example.org,2025-08-09 21:12:44,14582,0
144040aacd188cb3,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Consequatur unde assumenda magnam,Öğr. Erenalp Alexandru Hançer,hurican51@example.org,2025-08-11 22:58:44,11550,0
b450bde04d1a875a,Outlook veri dosyasının en üstü/Gelen Kutusu,Ipsam libero praesentium et,Eral Bilender Zengin,sevensinasi@example.com,2025-08-05 00:03:44,17026,1
973c6d2aaecf6fe2,Outlook veri dosyasının en üstü/Gelen Kutusu,Cumque nostrum fugit facilis nisi nemo,Doç. Özdal Korutürk,senerrabbiye@example.com,2025-07-20 18:30:44,34085,0
258b3b9970792da5,Outlook veri dosyasının en üstü/Gelen Kutusu,Repudiandae exercitationem tenetur iure facilis ratione sequi tenetur,Nurser Akça,hindal64@example.org,2025-08-03 09:42:44,17054,0
debfb4001f5d2973,Outlook veri dosyasının en üstü/Gelen Kutusu,Porro sequi reprehenderit,Emine. Sakarya Çamurcuoğlu,isiman09@example.net,2025-07-28 06:02:44,9814,1
89d16236d5e88d36,Outlook veri dosyasının en üstü/Gelen Kutusu,Enim molestiae aliquid,Buhari Dölensoy Bilge,dergul@example.net,2025-07-27 17:57:44,47384,2
faee29c406b893d6,Outlook veri dosyasının en üstü/Gelen Kutusu,Fugiat necessitatibus non aut dolor ab commodi explicabo,Öğr. Şazime Çevregül Şafak,fennicamurcuoglu@example.net,2025-07-18 18:26:44,43405,1
f9534e87b1226b52,Outlook veri dosyasının en üstü/Gelen Kutusu,Corrupti nisi repellendus vero perspiciatis dignissimos ipsum velit,Arş. Gör. Doğannur Sefer Bilge Akça,hayriogluselmin@example.com,2025-08-09 23:33:44,35632,1
7cbf5d763dfb176c,Outlook veri dosyasının en üstü/Taslaklar,Labore suscipit blanditiis fugit molestias vitae voluptatum,Çelikyürek İnönü,akifsezer@example.com,2025-08-05 07:26:44,38211,1
