id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
7df5e7afedba12d2,Outlook veri dosyasının en üstü/Gelen Kutusu,Debitis aperiam eveniet assumenda ad,Erbay Akar Durdu,eyorulmaz@example.com,2025-08-10 08:36:44,14195,1
04459c114f586898,Outlook veri dosyasının en üstü/Gelen Kutusu,Facilis deserunt temporibus quam,Ecegül Merva Mansız,lsama@example.org,2025-07-27 14:16:44,33947,0
4ddcb0f5f924413b,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Velit praesentium,Öğr. Ganiye Anargül Durmuş Manço,takcay@example.org,2025-07-19 11:10:44,25155,0
e9c34ac6407f6fba,Outlook veri dosyasının en üstü/Arşiv,Accusamus a a voluptatum,Bitül Büşranur Korutürk Bilir,gulenugur@example.com,2025-07-28 03:25:44,38597,0
c04f6738dc9d08de,Outlook veri dosyasının en üstü/Gelen Kutusu,Ea quidem numquam doloremque voluptatibus praesentium,Ulakbey Çorlu,tokersezer@example.org,2025-08-04 23:57:44,16074,0
4b7c2533a3dd7b0c,Outlook veri dosyasının en üstü/Gelen Kutusu,Quas sit quidem rerum tempora iusto pariatur,Canfeza Zengin,ialemdar@example.com,2025-07-14 02:57:44,14602,0
b063e42fca76dd1c,Outlook veri dosyasının en üstü/Gelen Kutusu,Nulla veniam tempora eos,Zamir Lutfi Alemdar,eflatunzorlu@example.com,2025-07-20 01:43:44,49459,0
b8d603bb840baf99,Outlook veri dosyasının en üstü/Gelen Kutusu,Ipsum veritatis placeat repellat labore asperiores,Dr. Yurdaser Güverçin Fırat,hanimdurdu@example.com,2025-07-29 00:17:44,26844,1
e158f7468a79d00b,Outlook veri dosyasının en üstü/Gelen Kutusu,Veritatis aspernatur facere ipsa sequi,Dr. Özdil Koşukhan Durmuş,tkaradeniz@example.com,2025-07-25 12:43:44,22235,0
6d3edcc8fdfb7007,Outlook veri dosyasının en üstü/Gelen Kutusu,Minima earum officiis tenetur aperiam nisi,Yrd. Doç. Şahinder Soylu Karadeniz,dayar85@example.net,2025-07-15 20:51:44,41938,0
