id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
41897552946bc3c2,Outlook veri dosyasının en üstü/Gelen Kutusu,Saepe excepturi tenetur quidem iure quisquam corporis sit,Dr. Erdibay Oganer Yılmaz,konguralp31@example.net,2025-07-24 00:11:44,47176,0
f750132b848d496f,Outlook veri dosyasının en üstü/Gelen Kutusu,Deleniti nemo asperiores officia veniam quod,Öğr. Doğannur Şahdiye Şener,aysoy66@example.net,2025-07-20 05:24:44,49216,1
90a74bdf4abba458,Outlook veri dosyasının en üstü/Taslaklar,Illo sit voluptatum,Fitnat Yekbun Yıldırım,kadinanakaradeniz@example.net,2025-07-14 10:27:44,26169,0
c57c1094a005c43d,Outlook veri dosyasının en üstü/Arşiv,In facilis aliquam modi aliquam,Arş. Gör. Timurtaş İlmafer Durdu,secme04@example.com,2025-08-08 03:57:44,39729,0
9eadce3aeee519a0,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Accusamus maiores,Prof. Münezzer Mihrab Soylu Ertaş,yorulmazakatay@example.com,2025-07-26 09:04:44,4634,0
acff8a1159401e91,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Quam repellendus doloremque,Arş. Gör. Mutasım İvecen Hayrioğlu,mhancer@example.net,2025-08-04 19:09:44,11568,0
8a30ea96ddbe177c,Outlook veri dosyasının en üstü/Gelen Kutusu,Cumque corporis occaecati nihil amet cumque quis minus,Elhan Akar,mdurdu@example.org,2025-07-24 11:55:44,5037,0
655dfe75b73d7c68,Outlook veri dosyasının en üstü/Gelen Kutusu,Et sapiente tempore illum veritatis laborum a dolor,Öğr. Gülter Dilhuş Gül,akboga66@example.org,2025-08-09 03:58:44,36934,0
420e061b073a8286,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Repudiandae voluptates veniam,Doç. Dilsitan Uyanser Yıldırım,onukerbilir@example.org,2025-07-31 10:24:44,43127,0
52ef6781658fa95a,Outlook veri dosyasının en üstü/Gelen Kutusu,Velit facere consequuntur impedit dicta rem molestiae,Dilşat İnönü Yüksel,koruturktigin@example.com,2025-07-27 13:25:44,18918,1
7ebf2ffbdb90c63d,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Vitae repudiandae,Çaltı Türk,oge42@example.org,2025-07-21 23:50:44,20099,1
3aa275cf75481597,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,In quae impedit numquam voluptatibus ea maiores,Atilhan Yorulmaz,rsakarya@example.org,2025-07-22 06:37:44,24093,0
33724cab5200dbe4,Outlook veri dosyasının en üstü/Silinen Öğeler,Quas ullam culpa vero ut adipisci,Gabel Demir,jdemir@example.net,2025-07-23 04:53:44,16423,0
74f281745ce83342,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Placeat magni adipisci labore a dolor quisquam,Mükrüme Hançer,sidaraksu@example.org,2025-07-27 00:39:44,2970,1
9011172a50404ea6,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Aliquid commodi nobis,Ekmel Çeviköz Yaman Şama,solma96@example.org,2025-07-16 22:12:44,5416,2
a0af41101ec6bbe3,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Amet officia ad minus facilis autem,Çev. Şüküfe Gabel Tevetoğlu Sakarya,basimzorlu@example.net,2025-07-22 22:57:44,3526,0
6876cc810fd01d4b,Outlook veri dosyasının en üstü/Gelen Kutusu,Recusandae possimus est suscipit quae quas occaecati,Mucahit Haciali Erdoğan,xfirat@example.net,2025-07-17 04:21:44,12402,0
18bb8b27d4098d12,Outlook veri dosyasının en üstü/Gelen Kutusu,Quas nam veritatis architecto eos tempore error,Zinnure Şensoy,apaydin81@example.net,2025-08-05 20:10:44,26326,0
72bae66e2daaa910,Outlook veri dosyasının en üstü/Taslaklar,Fugit vitae incidunt reprehenderit ducimus similique,Anargül Üçgül Yıldırım,mancogulfeza@example.com,2025-07-19 08:08:44,1129,1
2817117f60e13340,Outlook veri dosyasının en üstü/Silinen Öğeler,Impedit nostrum officiis,Dr. Gülşa Hançer Sezer,ruhidetarhan@example.com,2025-07-26 03:49:44,21326,1
507f6e4617b046ed,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Consequatur placeat pariatur accusamus nostrum atque magnam dolor nemo,Fetullah Sakarya,dalkilicarsoy@example.net,2025-08-04 11:18:44,14098,1
5b9daee227a1853e,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Dolores nihil odio expedita nesciunt quia,Okanay Ergül,gulgen31@example.com,2025-07-29 09:04:44,4365,0
60cf5d7b496d65b5,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Fugiat nesciunt non assumenda repudiandae dolorum aperiam tenetur accusantium reiciendis,Okt. Süner Rafia Akdeniz,fgul@example.org,2025-08-07 14:32:44,23100,0
1bcd04f6c8e1e460,Outlook veri dosyasının en üstü/Gelen Kutusu,Maiores assumenda atque tempore impedit laudantium expedita at ducimus,Uz. İzel Gülgen Demirel,cagverensoylu@example.net,2025-08-04 19:10:44,23834,1
25f71bb34bfe0d7b,Outlook veri dosyasının en üstü/Gelen Kutusu,Perferendis adipisci vitae itaque vero,Begim Neslinur İhsanoğlu,umutcanbilge@example.org,2025-07-20 04:31:44,43179,0
b26ae8f2b62f76aa,Outlook veri dosyasının en üstü/Gelen Kutusu,Praesentium aliquid quos temporibus natus inventore ipsam porro adipisci earum,Badegül Korutürk,selatin01@example.org,2025-08-01 17:54:44,40521,3
dd42ddfce735f19c,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Ut sunt sunt voluptatibus,Doç. Nezize Şahıgül Şafak,sendogan71@example.org,2025-07-19 08:36:44,43015,0
fb8f33df058a480e,Outlook veri dosyasının en üstü/Silinen Öğeler,Nam molestiae laborum sunt nam,Çev. Asu Hurican Sakarya,ilkimcamurcuoglu@example.org,2025-07-30 00:41:44,26324,1
43bc45af6ae08b46,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Blanditiis tempore adipisci voluptas,Aygutalp Jankat Öcalan,avunc24@example.com,2025-08-09 21:36:44,14068,0
bbb41766c966a703,Outlook veri dosyasının en üstü/Gelen Kutusu,Sint eius minima id corporis nemo esse,Prof. Oktüremiş Akdeniz,elifnur40@example.com,2025-08-02 17:59:44,43781,0
36ac987f3833c921,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Rerum ab ratione iusto reiciendis reiciendis esse sed expedita,Karaer Hayrioğlu,cinonu@example.net,2025-08-11 20:01:44,18244,0
69d848b83bfee969,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Illum debitis dicta a,Hatin Yaman,dduran@example.org,2025-08-07 07:33:44,15198,1
95b79f7ce5362136,Outlook veri dosyasının en üstü/Gelen Kutusu,Ducimus alias quam,Necdat Erdoğan,kanpulatihsanoglu@example.net,2025-08-07 18:45:44,47661,0
