id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
5d3e48da48b3edf6,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Repudiandae beatae pariatur eos similique omnis,Av. Yıldız Hürüyet Manço,gbilgin@example.org,2025-08-10 18:28:44,22275,2
d6d5da8000896f4d,Outlook veri dosyasının en üstü/Taslaklar,Magni doloremque alias temporibus perferendis eos,Doç. Buşra Fatinur Öcalan Bilgin,sultanesener@example.net,2025-08-09 23:06:44,44886,1
448ea141286a723b,Outlook veri dosyasının en üstü/Arşiv,Cum neque esse animi neque,Nurdeniz Müjde Gülen Yorulmaz,evcimenkaradeniz@example.org,2025-07-25 00:38:44,9450,2
040e19153f96f09e,Outlook veri dosyasının en üstü/Silinen Öğeler,Saepe libero,Duyguhan Sabihe Akçay,hanbikenakcay@example.net,2025-08-01 01:11:44,1385,1
f5a0cbd8679756b3,Outlook veri dosyasının en üstü/Gelen Kutusu,Est possimus nam fugit,Öğr. Bilkay Gül Bilge,demirelcoskun@example.org,2025-07-16 03:35:44,16909,2
d8e69b44413c32ab,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Dignissimos quaerat dicta quis porro officia,Pembesin Erdoğan,gulsahin78@example.org,2025-08-11 14:35:44,26334,1
1e905f81bbd137cd,Outlook veri dosyasının en üstü/Arşiv,Porro incidunt repudiandae nesciunt voluptatem nostrum quasi nesciunt quod voluptate,Yrd. Doç. Celilay Zorlu,okkasseven@example.com,2025-08-04 16:55:44,14340,0
ac94fa87f6bd730f,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Saepe sapiente voluptatem dolorem a possimus nostrum rerum,Öğr. Oğurata Demir,ocalansenkal@example.org,2025-07-21 04:29:44,15466,0
506c782d539af906,Outlook veri dosyasının en üstü/Taslaklar,Maiores temporibus repellat quae consequatur alias odio officiis,Egenur Hürüyet Tarhan,gakcay@example.org,2025-07-30 09:43:44,33525,0
b233999ef57386dd,Outlook veri dosyasının en üstü/Gelen Kutusu,Enim iste amet natus optio,Paye Akar,cihanakdeniz@example.net,2025-07-15 07:22:44,49661,0
a7533511769895e8,Outlook veri dosyasının en üstü/Gelen Kutusu,Est blanditiis dolor amet sapiente nesciunt,Hinet Tevetoğlu Aslan,temirhandumanli@example.net,2025-07-17 15:56:44,4401,0
1d37e83e7a2b1beb,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Autem consequatur debitis inventore quas,Zelha Şensoy Zengin,sumeyyeihsanoglu@example.com,2025-08-11 02:46:44,41190,0
