id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
217bf69d83603529,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Doloribus necessitatibus non,Sökmen Karadeniz,udemir@example.com,2025-08-09 16:34:44,16827,0
e13574aeeea10236,Outlook veri dosyasının en üstü/Gelen Kutusu,Temporibus magni odio tempora,Dr. Nayil Bedri Gülen,gumustekin92@example.com,2025-08-03 13:00:44,9372,0
c1952ed15b1ba118,Outlook veri dosyasının en üstü/Gelen Kutusu,Molestiae enim consequuntur nobis ratione,İbrahim Tarhan,duha76@example.com,2025-08-01 23:06:44,23513,0
c8307901374f38f2,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Impedit ad modi voluptatum,Öğr. Rabbiye Tüzenur Bilir Şafak,inonusatia@example.com,2025-08-08 02:57:44,9929,1
a8cdf646a1ce512f,Outlook veri dosyasının en üstü/Gelen Kutusu,Rem repellendus et ipsa architecto,Hayret Cavit Öcalan,corluberiye@example.org,2025-07-28 17:07:44,10410,0
e9644ef6d2ab4e4b,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Molestias mollitia explicabo doloremque quisquam,Besey Nevsale Ergül,yamanbegim@example.com,2025-07-15 19:25:44,5222,0
10dcefbf8a548f6e,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Itaque quam nam optio totam,Şekim Ülker,dumanliusame@example.net,2025-07-24 01:03:44,19662,0
25812faff3d9a63b,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Quam natus corporis repellat voluptatibus,Bican Utkucan İhsanoğlu Türk,rertas@example.com,2025-08-06 03:32:44,48831,0
0974c821b1b9dd9f,Outlook veri dosyasının en üstü/Gelen Kutusu,Autem corporis mollitia harum ratione inventore optio sunt,Sağcan Zorlu,tdumanli@example.com,2025-07-21 08:59:44,16170,1
cea939700848baf9,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Quo suscipit laborum,Gazel Seven,zyilmaz@example.org,2025-07-15 16:17:44,16791,1
b7a94170cfbfc864,Outlook veri dosyasının en üstü/Gelen Kutusu,Et deserunt iste nulla eaque porro accusamus,Yönetmen Tarhan,seracettin59@example.org,2025-07-28 06:41:44,4852,0
dbe316c36d5a9b0b,Outlook veri dosyasının en üstü/Gelen Kutusu,A corporis quod omnis,Özlü Hayrioğlu,gunseleraslan@example.org,2025-07-17 08:15:44,39293,0
de106814ce3dc858,Outlook veri dosyasının en üstü/Gelen Kutusu,Nostrum doloribus suscipit,Gülsiye Bilir,mengi70@example.net,2025-07-26 12:41:44,17309,2
