id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
a9fde906ca65066c,Outlook veri dosyasının en üstü/Silinen Öğeler,Ad reprehenderit,Şükri Sezgin,agbegim70@example.net,2025-08-06 22:59:44,34912,0
7fe7a1b5ee449a92,Outlook veri dosyasının en üstü/Arşiv,Veniam commodi quia omnis,Zeyno Şensoy Hançer,muzekker84@example.org,2025-07-25 23:47:44,23590,1
93774982b0673efb,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Eum numquam quibusdam quisquam mollitia sunt earum iure minus,Büreyre Arsoy Kısakürek,siper37@example.org,2025-08-10 14:41:44,3967,0
6b92ff5e6189ca73,Outlook veri dosyasının en üstü/Arşiv,Tempore doloremque voluptatem mollitia maxime deleniti eum rerum quas,Arş. Gör. Nurveren Çorlu Karadeniz,arslanisak@example.net,2025-07-23 15:20:44,34421,0
20aec1a5e9bb8587,Outlook veri dosyasının en üstü/Gelen Kutusu,Occaecati molestias,Dr. Şeyda Neriban Akar,tokertevetoglu@example.com,2025-07-13 17:52:44,16681,0
b76d4834deb5fa26,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Repellendus voluptatibus dignissimos dolorum itaque maiores,Aygutalp Toker Karadeniz,gulder48@example.org,2025-08-10 19:52:44,44069,0
2e4f7a33e88c1e5b,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Vel eligendi hic architecto maiores,Gülşeref Neslinur Eraslan,aycagul50@example.org,2025-07-29 11:15:44,41183,0
a9bf3f1a120a2fd3,Outlook veri dosyasının en üstü/Taslaklar,Fugit accusantium quisquam corrupti quos optio,Prof. Büreyre Akmaral Şafak Arslan,bilginalparslan@example.org,2025-07-16 20:09:44,7154,0
614ab6a4b49c6394,Outlook veri dosyasının en üstü/Gelen Kutusu,Quisquam est possimus beatae autem similique accusantium consequatur iure,Gözem Yorulmaz Demirel,corluakgunes@example.com,2025-07-15 20:28:44,29500,0
033ad173d726dcbe,Outlook veri dosyasının en üstü/Taslaklar,Commodi earum,Bayan Türcan Şöhret Durmuş Zorlu,ozsozluyilmaz@example.com,2025-08-04 09:57:44,21240,0
1a2d8e569a866e3c,Outlook veri dosyasının en üstü/Silinen Öğeler,Occaecati laudantium eum quo,Ayvas Alemdar,rsezer@example.net,2025-07-14 17:58:44,37945,0
37517a06dcdb0119,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Quas magni est neque adipisci,Öğr. Elgin Nevsale Sezer,pyuksel@example.com,2025-08-07 02:02:44,41324,0
55068e3df2d41fa3,Outlook veri dosyasının en üstü/Taslaklar,Recusandae aperiam,Ayduru Aslan,muratcanhancer@example.org,2025-07-17 11:54:44,36810,1
fa8a2d42a4c0f6aa,Outlook veri dosyasının en üstü/Gelen Kutusu,Sequi eius mollitia nemo,Öğr. Asalet Altınkaya Demir,menfeatyildirim@example.com,2025-08-07 12:00:44,42613,0
0c2869af1cae4ab1,Outlook veri dosyasının en üstü/Gelen Kutusu,Exercitationem molestias laborum ad laudantium earum,Nurullah Soylu,hayriogluerenalp@example.org,2025-07-24 09:04:44,12034,3
78e51f8de1a48e34,Outlook veri dosyasının en üstü/Gelen Kutusu,Magni eligendi necessitatibus voluptate,Durgadin Sejda Sakarya,maynursezer@example.org,2025-07-30 00:40:44,49751,1
9eb4fbbead1b2188,Outlook veri dosyasının en üstü/Gelen Kutusu,Voluptatem perspiciatis ad cumque,Prof. Masume Ervaniye Zengin Ertaş,tutkun29@example.com,2025-07-22 16:54:44,21812,0
7bae6b8749c5c518,Outlook veri dosyasının en üstü/Silinen Öğeler,Mollitia dolores in consequatur,Uz. Afer Eraycan Durdu,buhari90@example.com,2025-08-01 11:31:44,37842,0
96264853fdff886e,Outlook veri dosyasının en üstü/Silinen Öğeler,Voluptates,Akgüneş Bilge Kısakürek,aysoy29@example.com,2025-07-28 15:48:44,19448,0
be8610be493bf06f,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Sunt earum iure,Kamar Korutürk,mugberergul@example.org,2025-07-26 23:40:44,34514,0
c5c935a09ac3d30a,Outlook veri dosyasının en üstü/Gelen Kutusu,Quibusdam et,Arziye Soylu,okseven90@example.org,2025-07-31 09:14:44,7581,0
f9a4e45268f26bb2,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Laboriosam excepturi aliquid,Sirap Akay Çamurcuoğlu,hancerunlen@example.net,2025-07-27 14:03:44,17564,0
894104d57f011ec9,Outlook veri dosyasının en üstü/Taslaklar,Alias dicta laudantium ratione ad vero,Sezen Ayülker Alemdar Tevetoğlu,uraltayhayrioglu@example.org,2025-07-21 22:29:44,32988,2
6a33a696230d8047,Outlook veri dosyasının en üstü/Gelen Kutusu,Fugiat quae repellendus quos fugit explicabo possimus id illo velit,Çıvgın Buhari Eraslan,zorluaysevim@example.org,2025-08-08 03:36:44,7975,0
da856b2153a65829,Outlook veri dosyasının en üstü/Gelen Kutusu,Ab nemo dolore voluptatem iusto,Nurdeniz Akçay Gülen,gucluulkum@example.net,2025-07-24 16:07:44,3167,0
e2bede0a7b7909e3,Outlook veri dosyasının en üstü/Silinen Öğeler,Temporibus maiores nihil nostrum,Prof. Aybet Bilgin Arslan,yyaman@example.org,2025-07-27 13:51:44,28318,0
d5003ffd5b66c67b,Outlook veri dosyasının en üstü/Gelen Kutusu,Culpa ratione cumque id,Münezzer Melikkan Ülker,gulenayergul@example.com,2025-07-27 21:14:44,14868,0
add7b52104c2b706,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Suscipit dolore perspiciatis quasi aut,Prof. Tanhan Aykutalp Erdoğan,zakcay@example.com,2025-07-16 00:01:44,33223,0
02435cb1bb0af843,Outlook veri dosyasının en üstü/Gelen Kutusu,In voluptatum nostrum itaque corporis illum,Eröz Soylu,dinceryildirim@example.net,2025-08-08 04:24:44,32821,1
a83bf4ba0b43d91f,Outlook veri dosyasının en üstü/Gelen Kutusu,Explicabo consequuntur aut id hic,Doç. Rojnu Şayan Akça,belgizarinonu@example.net,2025-08-04 11:53:44,21912,1
1c66ea7261ec32d5,Outlook veri dosyasının en üstü/Gelen Kutusu,Voluptate aut fugiat,Öğr. Nades Korutürk Eraslan,kyildirim@example.net,2025-08-09 23:32:44,31138,1
00d76ae15211ba39,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Quia sunt possimus consequuntur deserunt eum,Sebigül Akçay Durmuş,yyorulmaz@example.com,2025-07-24 00:58:44,13605,0
4eeea6aa8547652c,Outlook veri dosyasının en üstü/Gelen Kutusu,Eum cupiditate alias similique nemo iusto consequuntur facilis ad,Fahrullah Karadeniz,ruhide28@example.com,2025-07-15 18:13:44,2429,1
