id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
521ee4c5501a72ee,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Fugiat totam ea molestiae illo in ratione nesciunt,Umuşan Ergül Şener Yaman,tarhanpurcek@example.org,2025-07-25 23:18:44,23057,0
612a6e7f9d586bb7,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Ex accusantium possimus laboriosam,Nalân Şener,mbilir@example.net,2025-07-29 09:28:44,28807,0
1d59bb77e463fa00,Outlook veri dosyasının en üstü/Gelen Kutusu,Id nam provident sit nemo,Maşide Alaz Dumanlı,tyuksel@example.org,2025-07-25 17:01:44,48912,1
78183b7c2788ffa6,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Consequuntur hic,Dr. Turabi Güngördü Durmuş,gulenesengun@example.net,2025-08-06 02:36:44,6762,1
883a699e7a42c7ca,Outlook veri dosyasının en üstü/Gönderilmiş Öğeler,Magni quaerat at inventore id,Ümray Şafak Fırat,alsoy72@example.net,2025-07-17 23:09:44,42278,0
c5f281404b367ef7,Outlook veri dosyasının en üstü/Gelen Kutusu,Minima assumenda officia,Permun Yıldırım,sultaneerdogan@example.org,2025-07-17 00:06:44,18193,0
1a19f88c0527ebbb,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje A,Quod earum fugit animi perspiciatis,Çev. Adila Elamiye Bilgin Akça,ogulbas83@example.org,2025-07-23 03:03:44,5479,2
b4c055e30919aa22,Outlook veri dosyasının en üstü/Gelen Kutusu,Placeat esse magni tempore minus nemo,Uz. Dincer Akgündüz,durmushekime@example.net,2025-08-12 04:29:44,24347,2
4039b2e24e77e5dd,Outlook veri dosyasının en üstü/Gelen Kutusu/Projeler/Proje B,Nulla rerum amet soluta dignissimos dolores doloribus,Çamok Ülker,nirgulhayrioglu@example.com,2025-07-21 14:19:44,20276,0
04c6a65cc17ba0c1,Outlook veri dosyasının en üstü/Gelen Kutusu/Müşteriler/Önemli,Esse asperiores sed quis eaque incidunt,Bergen Seven,ayhangulen@example.org,2025-07-22 05:46:44,42554,0
